id	customer	project	activity	ddate	duration	title	username
118	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Monthly patching and maintenance	2018-11-21 15:49:00	0	NULL	George
133	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Monthly patching and maintenance	2018-11-22 10:45:00	900	Support ticket	nick
134	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Monthly patching and maintenance	2018-11-19 08:30:00	10800	patched all servers and retrieved weekly backup.	Andy Barnes
135	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Monthly patching and maintenance	2018-11-26 09:30:00	7200	weekly backup retrieval	Andy Barnes
136	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Monthly patching and maintenance	2018-11-26 10:45:00	3600	monthly momo security audit (momosec), checked all security reports for centos and ubuntu across all installed packages on momo infrastructure.	Andy Barnes
137	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Monthly patching and maintenance	2018-11-27 10:30:00	3600	momosec-openscap-documentation.txt consolidation of the various decisions and choices we have made for momo next infra so far.	Andy Barnes
138	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Monthly patching and maintenance	2018-11-27 11:45:00	3600	initial momo ansible openscap remediation script	Andy Barnes
146	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Monthly patching and maintenance	2018-11-20 13:30:00	4500	Andy Barnes Project meeting	Jermalkl
153	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Monthly patching and maintenance	2018-11-30 09:30:00	14400	MOMO-next infra planning	Andy Barnes
156	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Monthly patching and maintenance	2018-12-05 11:30:00	1800	NULL	neontribe
157	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Monthly patching and maintenance	2018-12-05 12:00:00	900	NULL	neontribe
158	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Monthly patching and maintenance	2018-12-05 12:15:00	900	NULL	neontribe
159	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Monthly patching and maintenance	2018-12-06 12:45:00	4500	usual patching & maintenance, plus security changes to /etc/ssh/sshd_config on all hosts, and changes to ufw firewall (to block ssh from unknown sources)	Andy Barnes
160	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Monthly patching and maintenance	2018-12-06 12:30:00	2700	NULL	neontribe
174	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Monthly patching and maintenance	2018-12-10 08:00:00	7200	weekly backup retreival, monthly patching & reboots.	Andy Barnes
173	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	MOMO ISO27001 general process	2018-12-07 12:15:00	23400	monthly meetings (two skipped by arrangement) 3 *30 mins\nmonthly infosec november finish: 2h\nmonthly infosec december scans and actions on results: 3h	neil
182	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	MOMO ISO27001 general process	2018-12-12 12:39:00	1800	fix sshd config and complete monthly infosec review	neil
124	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Ongoing development support	2018-11-21 15:30:00	12600	Activity Hot fix releases, verification and One patch	katjam
125	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Ongoing development support	2018-11-19 13:00:00	3600	Support tickets and hotfix assistance	nick
127	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Ongoing development support	2018-11-22 15:30:00	3600	Hotfix support and info	katjam
129	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Ongoing development support	2018-11-19 15:30:00	14400	Hot fix planning & push to staging	katjam
131	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Ongoing development support	2018-11-20 15:00:00	1800	Support tickets	nick
132	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Ongoing development support	2018-11-21 13:30:00	1800	Support tickets	nick
139	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Ongoing development support	2018-11-27 12:00:00	3600	Infosec questions from Southampton	katjam
140	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Ongoing development support	2018-11-26 12:00:00	16200	Test and release hotfix for privacy link in One. Raise trellos to cover hotfixes for new year sprint. Infosec info for Southampton.	katjam
147	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Ongoing development support	2018-11-29 16:30:00	1800	NULL	Jermalkl
155	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Ongoing development support	2018-12-03 00:00:00	5400	Keeping an eye on maintenance - express bug becoming more frequent.	katjam
162	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Ongoing development support	2018-12-03 11:45:00	3600	Support tickets - mostly demo log in issues	katjam
165	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Ongoing development support	2018-12-05 11:45:00	3600	Investigate express error	katjam
169	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Ongoing development support	2018-12-07 11:45:00	3600	Logging on demo for express authentication issue	katjam
170	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Ongoing development support	2018-12-06 12:00:00	1800	Dev support  check up	katjam
126	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Sprint admin management and meetings	2018-11-21 15:30:00	1800	Hotfix process stuff	katjam
128	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Sprint admin management and meetings	2018-11-22 15:30:00	10800	Tidy up after hotfixes. Prep for mini One release	katjam
168	Mind of my Own	Heartbeat (6 weeks) 19 Nov - 14 Dec 2018	Sprint admin management and meetings	2018-12-07 11:45:00	3600	Stand-up & chat with Roz about One statement saving	katjam
13	Neontribe	Neontribe website	Static Content	2019-03-20 10:00:00	21600	Automated deplyment	tobias
122	Neontribe	Neontribe website	Static Content	2018-10-31 16:00:00	4500	non static meeting	RobRogers
248	Neontribe	Neontribe website	Static Content	2019-01-23 16:15:00	5400	Scope MVP meeting	Jermalkl
676	Neontribe	Neontribe website	Static Content	2019-03-26 13:00:00	3600	Worker alphabetical sorting\nhttps://github.com/neontribe/ServiceMomo/pull/500	nick
770	Neontribe	Neontribe website	Static Content	2019-04-16 13:45:00	10800	Circle CI base build	tobias
21	Neontribe	Neontribe website	Design	2019-03-12 10:00:00	3600	Catch-up and MVP design work	katjam
28	Neontribe	Neontribe website	Design	2019-03-13 10:00:00	12600	MVP paper testing sessions	katjam
34	Neontribe	Neontribe website	Design	2019-03-14 10:00:00	3600	MVP paper testing	katjam
86	Neontribe	Neontribe website	Design	2019-03-13 12:30:00	10800	Prototyping and usability testing	nick
88	Neontribe	Neontribe website	Design	2019-03-14 11:00:00	7200	Prototyping and usability testing	nick
141	Neontribe	Neontribe website	Design	2018-11-20 10:00:00	13500	NULL	steph
142	Neontribe	Neontribe website	Design	2018-11-21 10:00:00	14400	NULL	steph
143	Neontribe	Neontribe website	Design	2018-11-29 10:15:00	12600	NULL	steph
144	Neontribe	Neontribe website	Design	2018-11-26 10:15:00	13500	NULL	steph
175	Neontribe	Neontribe website	Design	2018-12-10 15:30:00	1800	Prototype feedback	katjam
177	Neontribe	Neontribe website	Design	2018-12-07 15:45:00	18900	NULL	steph
178	Neontribe	Neontribe website	Design	2018-12-06 15:45:00	11700	NULL	steph
179	Neontribe	Neontribe website	Design	2018-12-05 15:45:00	15300	NULL	steph
180	Neontribe	Neontribe website	Design	2018-12-04 15:54:00	8100	NULL	steph
252	Neontribe	Neontribe website	Design	2019-01-23 15:53:00	18000	Flow and MVP prototyping workshops	katjam
272	Neontribe	Neontribe website	Design	2019-01-28 11:26:00	7200	NULL	Holly
283	Neontribe	Neontribe website	Design	2019-01-23 15:00:00	3600	Injected spurious design commentary into the MVP	Charlie
120	Neontribe	Neontribe website	Infrastructure	2018-11-14 15:45:00	15300	https://github.com/neontribe/demostack prototyping	RobRogers
163	Neontribe	Neontribe website	Infrastructure	2018-12-03 11:45:00	3600	Mostly code review	katjam
166	Neontribe	Neontribe website	Infrastructure	2018-12-05 11:45:00	3600	Code review & research	katjam
172	Neontribe	Neontribe website	Infrastructure	2018-12-07 12:00:00	1800	Code reveiw	katjam
783	Neontribe	Neontribe website	Infrastructure	2019-04-17 10:00:00	1800	Code review	katjam
3	Neontribe	Neontribe website	Project management and meetings	2019-03-19 13:21:00	5400	Actions for improving MVP from testing sessions in Exeter	katjam
44	Neontribe	Neontribe website	Project management and meetings	2019-03-19 10:45:00	9000	Website meeting, prep, usability testing issue	nick
115	Neontribe	Neontribe website	Project management and meetings	2018-11-20 10:00:00	5400	NULL	harry
